epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.2793333333333334,1.5736173238674613,0.001,0.306,1.5590395876916925
2,0.3061333333333333,1.5535595087511171,0.001,0.32,1.528366808761578
3,0.29613333333333325,1.5694561648366072,0.001,0.3,1.5328098397395777
4,0.31133333333333335,1.5540548195862507,0.001,0.272,1.56146453449257
5,0.29973333333333324,1.5588804598407333,0.001,0.316,1.542501648153038
6,0.32333333333333336,1.5430284848370621,0.001,0.32,1.5413693746573116
7,0.31480000000000014,1.548069176347921,0.001,0.308,1.5528109238908767
8,0.32546666666666657,1.5372354458327226,0.001,0.33,1.538848362499214
9,0.3194666666666667,1.5370502207348247,0.001,0.294,1.5454826719289523
10,0.314,1.5448631912093642,0.001,0.348,1.5346021800471072
11,0.30493333333333333,1.5456018335751744,0.001,0.338,1.5191828881331755
12,0.3242666666666667,1.539549294108827,0.001,0.302,1.5424331931147115
13,0.32266666666666666,1.5400371179517944,0.001,0.354,1.5213641008770855
14,0.3116,1.5384832935186492,0.001,0.34,1.5252845149586627
15,0.3263999999999999,1.5347200140242936,0.001,0.362,1.5426257549336837
16,0.32853333333333334,1.532177964768974,0.001,0.336,1.5299645958837247
17,0.35440000000000005,1.5137223400046427,0.001,0.348,1.5336771136136795
18,0.35253333333333314,1.513989624366431,0.001,0.31,1.5421481864733468
19,0.3522666666666663,1.5093851135215286,0.001,0.316,1.5336985544347517
20,0.33746666666666647,1.522752778055258,0.001,0.318,1.5412820455239646
21,0.34226666666666666,1.5190673321435204,0.001,0.326,1.5359911155650616
22,0.3597333333333333,1.5072852110343535,0.001,0.33,1.537257980113179
23,0.3249333333333333,1.526426976292697,0.001,0.354,1.5241603538060766
24,0.3333333333333334,1.5249749970424102,0.001,0.394,1.5058298668937906
25,0.3544,1.5044322364970781,0.001,0.33,1.546676923661198
26,0.3481333333333334,1.5211286856736785,0.001,0.334,1.5270024932057489
27,0.3505333333333332,1.5097557832384318,0.001,0.318,1.5412108751618432
28,0.3570666666666665,1.5061058556271,0.001,0.344,1.509168160053212
29,0.36893333333333334,1.510267962602563,0.001,0.378,1.5193883396423271
30,0.3453333333333334,1.5153627856754357,0.001,0.338,1.5033474499134825
31,0.3629333333333332,1.5049553167550611,0.001,0.324,1.5315956744184087
32,0.36133333333333334,1.5079867144178463,0.001,0.338,1.5134759293838222
33,0.37213333333333326,1.5017966962593152,0.001,0.352,1.5077550761424587
34,0.36333333333333345,1.5064500240389187,0.001,0.34,1.527979766473505
35,0.3662666666666666,1.500777034012643,0.001,0.326,1.5262397692266692
36,0.38120000000000004,1.4860183556259927,0.001,0.32,1.5202593681591305
37,0.37213333333333315,1.4886330961083671,0.001,0.364,1.5014608314043456
38,0.3479999999999998,1.511964634600713,0.001,0.316,1.5524841339670639
39,0.3618666666666666,1.5060706735032054,0.001,0.394,1.4934092693558854
40,0.39413333333333334,1.480241585255238,0.001,0.328,1.5312566566691244
41,0.3736,1.4946455408218728,0.001,0.356,1.5186193687284406
42,0.36826666666666663,1.498180517819048,0.001,0.348,1.5024855669527581
43,0.3504,1.514503903103757,0.001,0.338,1.5238755210460735
44,0.3613333333333334,1.5055946626818946,0.001,0.376,1.5057786225975933
45,0.382533333333333,1.478158149468984,0.0005,0.364,1.4990114644214365
46,0.3942666666666666,1.472475968510159,0.0005,0.378,1.500605956637149
47,0.3957333333333333,1.4748443678499856,0.0005,0.336,1.5160159184391027
48,0.38146666666666657,1.4821345026906954,0.0005,0.378,1.4888484004781959
49,0.3846666666666665,1.4790740769569894,0.0005,0.394,1.4925682097553565
50,0.37346666666666656,1.4831252322379183,0.0005,0.392,1.4862719807122493
51,0.39373333333333344,1.4641407794489998,0.0005,0.35,1.499657306205127
52,0.37959999999999994,1.4891070963626316,0.0005,0.38,1.4821910135703258
53,0.3797333333333333,1.4765435151355177,0.0005,0.394,1.4842957496858578
54,0.39866666666666667,1.4663246758058093,0.0005,0.39,1.4725822284399706
55,0.39906666666666657,1.462634111653052,0.0005,0.368,1.5014794684492616
56,0.3937333333333332,1.4725302743468234,0.0005,0.364,1.497738920571003
57,0.40013333333333345,1.467395283624501,0.0005,0.372,1.492358379223926
58,0.40693333333333326,1.468257671144823,0.0005,0.422,1.470083535426687
59,0.40679999999999994,1.4632347569067334,0.0005,0.366,1.5035378948979483
60,0.39546666666666674,1.465412759756534,0.0005,0.408,1.500641683576415
61,0.39773333333333305,1.4627018045091191,0.0005,0.334,1.5158135326682345
62,0.3881333333333334,1.4717656825243417,0.0005,0.384,1.484255437231847
63,0.4006666666666667,1.4665280847921545,0.0005,0.348,1.516976081944346
64,0.3877333333333333,1.477202054016065,0.0005,0.35,1.5137772916542973
65,0.37786666666666663,1.4752020009283044,0.0005,0.356,1.5055012901200522
66,0.39293333333333325,1.467024135676353,0.0005,0.36,1.4994942536335105
67,0.4098666666666665,1.452510017815913,0.0005,0.384,1.4918642397781745
