epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.07208888888888891,54.28682860807676,0.001,0.278,8.388350822755802
2,0.0706222222222222,6.9656378194096,0.001,0.294,2.715445066678563
3,0.0725333333333333,4.356452850596979,0.001,0.306,2.196752498226641
4,0.07502222222222221,3.8036034277682926,0.001,0.314,1.8008333137770767
5,0.07991111111111109,3.485171060539496,0.001,0.308,1.714366608060753
6,0.08117777777777782,3.4042926695741555,0.001,0.322,1.5389688020259698
7,0.08502222222222222,3.346400545776378,0.001,0.33,1.5674881332897164
8,0.08611111111111112,3.3878004166766815,0.001,0.336,1.538192791496418
9,0.08671111111111114,3.3859325137333833,0.001,0.336,1.5377969025163267
10,0.08837777777777779,3.3147779758928353,0.001,0.356,1.5010217574025573
11,0.0907111111111111,3.304828924337875,0.001,0.328,1.5280129719095386
12,0.09308888888888889,3.306959620203496,0.001,0.318,1.529620769693124
13,0.09522222222222224,3.304087892614088,0.001,0.36,1.4969810586562604
14,0.09968888888888888,3.2694584828694375,0.001,0.354,1.4990030961736394
15,0.0987555555555556,3.28685612183841,0.001,0.368,1.475096299542565
16,0.09795555555555559,3.281116894967799,0.001,0.366,1.473507454539467
17,0.10013333333333334,3.2676781826471726,0.001,0.338,1.4924564526790254
18,0.10477777777777782,3.2488704360440357,0.001,0.328,1.512862870627799
19,0.10317777777777777,3.2673928944721404,0.001,0.326,1.527730376843254
20,0.1076,3.237206855334532,0.001,0.362,1.5146769529223174
21,0.10833333333333328,3.2391423759625497,0.001,0.354,1.4972617455763308
22,0.10919999999999998,3.234756909314247,0.001,0.326,1.5324854146983795
23,0.1109111111111111,3.220055309417832,0.001,0.328,1.4903930020434126
24,0.11837777777777773,3.206227018434835,0.001,0.356,1.4607937469796552
25,0.11753333333333334,3.205276680727165,0.001,0.346,1.4816441080515006
26,0.11191111111111116,3.2152544313918305,0.001,0.348,1.4693421743175286
27,0.11544444444444442,3.2068054642986574,0.001,0.348,1.4582049672410151
28,0.12008888888888886,3.1926776087462296,0.001,0.346,1.5035477939453312
29,0.12071111111111113,3.179981030955331,0.001,0.39,1.4622245493680657
30,0.1208222222222222,3.1691272529603243,0.001,0.406,1.408308741726081
31,0.12628888888888887,3.1707065131500065,0.001,0.386,1.452633614838004
32,0.1175555555555555,3.1803405244112026,0.001,0.36,1.479115024636412
33,0.12817777777777775,3.1554115831294065,0.001,0.436,1.3881699092694397
34,0.12811111111111104,3.1375239899033898,0.001,0.372,1.4664630045414184
35,0.13126666666666664,3.1210896866396713,0.001,0.36,1.5003119017351816
36,0.13393333333333332,3.1202941639404553,0.001,0.394,1.4213691859412905
37,0.13102222222222218,3.1240281605838924,0.001,0.366,1.4573117498326993
38,0.1355999999999999,3.1030856751629723,0.001,0.406,1.388037632076376
39,0.13319999999999993,3.0886039062236943,0.001,0.37,1.45902227568962
40,0.14704444444444442,3.0556986771869328,0.0005,0.414,1.3923330855324718
41,0.14573333333333324,3.05554316309097,0.0005,0.374,1.4172931883737914
42,0.1424666666666666,3.0637729051116644,0.0005,0.412,1.3974696709776278
43,0.1516444444444444,3.03476146196155,0.0005,0.4,1.4072741229426267
44,0.14857777777777775,3.0372559996397595,0.0005,0.408,1.4257124252980187
45,0.1463777777777778,3.0416532632965407,0.0005,0.434,1.3792837256703399
46,0.14933333333333332,3.043540426351478,0.0005,0.418,1.3910197642360589
47,0.15497777777777777,3.0138329072651726,0.0005,0.438,1.2968911274091492
48,0.14582222222222221,3.0494416798294743,0.0005,0.384,1.4214468800654265
49,0.14768888888888893,3.049471292437602,0.0005,0.428,1.3712054130464761
50,0.14786666666666665,3.0493330768411564,0.0005,0.402,1.4070280361735694
51,0.15359999999999996,3.03752651606771,0.0005,0.392,1.4273004121893245
52,0.1507777777777778,3.0316914941568536,0.0005,0.428,1.3956869297839034
53,0.1544222222222222,3.0160626863636826,0.0005,0.362,1.4636461454325576
54,0.15471111111111108,3.006038748012333,0.0005,0.448,1.3632943639217632
55,0.1538888888888889,3.0123455715549468,0.0005,0.408,1.433917475942194
56,0.1618222222222222,2.9870533797322256,0.0005,0.37,1.4936153809401722
57,0.1600444444444444,2.984091279182747,0.0005,0.43,1.4104823471531167
58,0.15019999999999997,3.024210999396092,0.0005,0.436,1.4109979629139897
59,0.1632444444444445,2.982592838547572,0.0005,0.378,1.430549919697567
60,0.1608888888888888,2.995240792516124,0.0005,0.452,1.3246815637141724
61,0.16457777777777785,2.9662993448750394,0.0005,0.46,1.3458553632291101
62,0.1714666666666667,2.9403439492853107,0.0005,0.398,1.4169976015576116
63,0.16284444444444443,2.989732326402065,0.0005,0.406,1.3960724812691794
64,0.1672666666666667,2.9719233045405407,0.0005,0.454,1.3384538763246379
65,0.1688888888888889,2.9668939952543316,0.0005,0.422,1.4004129587294607
66,0.16391111111111104,2.9553209559906914,0.0005,0.428,1.405026759929284
67,0.16662222222222223,2.977300478538484,0.0005,0.436,1.3927998182294157
68,0.16377777777777788,2.976543140891893,0.0005,0.424,1.3510948966592125
69,0.16904444444444436,2.958844048971705,0.0005,0.43,1.3658301881444883
70,0.16417777777777773,2.969742533745958,0.0005,0.446,1.3923986278507279
71,0.17397777777777776,2.938756848382588,0.0005,0.388,1.453483891743152
72,0.16859999999999997,2.952663100821526,0.0005,0.46,1.367869491467858
73,0.1741111111111112,2.934546804393836,0.0005,0.446,1.3830859943529488
74,0.17264444444444443,2.9366432158474374,0.0005,0.4,1.4171459727880102
75,0.17211111111111113,2.933970887949937,0.0005,0.44,1.3687362070501488
76,0.17288888888888887,2.93078443673482,0.0005,0.418,1.3482949185684758
77,0.17324444444444434,2.923387535856292,0.0005,0.478,1.2990766037216206
78,0.17380000000000004,2.932622610527068,0.0005,0.404,1.4135245700593455
79,0.1794888888888889,2.910006962188446,0.0005,0.408,1.4148599346143758
80,0.1815777777777777,2.8986098225915065,0.00025,0.44,1.3454252647969536
81,0.18017777777777774,2.8989571264964926,0.00025,0.384,1.3956216685633378
82,0.1853333333333335,2.8832856331564436,0.00025,0.41,1.3714430164993683
83,0.18182222222222225,2.877707441160938,0.00025,0.458,1.321263047417353
84,0.17971111111111104,2.892008793274475,0.00025,0.438,1.3609020211712444
85,0.1887555555555555,2.8666664980433687,0.00025,0.422,1.3196478773778098
86,0.18919999999999992,2.8523911841296377,0.00025,0.434,1.331873436418028
87,0.18386666666666668,2.8784649324579408,0.00025,0.46,1.3294499063372638
88,0.18804444444444446,2.875946062032058,0.00025,0.438,1.3452736366375484
89,0.1889777777777778,2.8592842577076674,0.00025,0.426,1.3901634212438234
90,0.1845777777777778,2.8730532703905762,0.00025,0.418,1.4214632745250768
91,0.18499999999999997,2.8679405566926555,0.00025,0.456,1.3168300145648777
92,0.1894666666666667,2.85848494505255,0.00025,0.39,1.4466016510647879
93,0.19137777777777776,2.8531498870744114,0.00025,0.456,1.3331087274588316
94,0.18806666666666666,2.8609659821019835,0.00025,0.452,1.3160313732925253
95,0.19411111111111115,2.8373999143971123,0.00025,0.466,1.3398466317448057
96,0.18857777777777784,2.860687536581313,0.00025,0.452,1.3258105364622885
