epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7677333333333333,1.0666013764939277,0.001,0.8,0.6278552351034143
2,0.8832000000000001,0.37954612530633725,0.001,0.88,0.3796282099022842
3,0.9066666666666664,0.30782754863245587,0.001,0.91,0.3369126246459009
4,0.9239999999999999,0.22481648592050166,0.001,0.928,0.18455061615691012
5,0.9393333333333328,0.19750416646845573,0.001,0.888,0.4010242468405904
6,0.9402666666666663,0.18399526753492831,0.001,0.908,0.3120650412727421
7,0.9518666666666662,0.15812215912614758,0.001,0.914,0.28045367671049565
8,0.9519999999999995,0.14781208422018774,0.001,0.938,0.21527985072409925
9,0.9517333333333328,0.17134020697469005,0.001,0.916,0.31859449625889014
10,0.9562666666666664,0.13089068592316258,0.001,0.936,0.2369641793467783
11,0.9603999999999994,0.1256755756883339,0.001,0.934,0.2453139979398667
12,0.9587999999999994,0.1285400127669662,0.001,0.946,0.19120996631109025
13,0.9626666666666666,0.12375812707469508,0.001,0.948,0.18462032303957185
14,0.9651999999999994,0.10641013836359461,0.001,0.942,0.2285134811093732
15,0.9714666666666661,0.10388985831954921,0.001,0.928,0.2415659760545108
16,0.9667999999999995,0.10113031646870536,0.001,0.94,0.18800275285502768
17,0.9749333333333332,0.07971608091951408,0.001,0.936,0.19529966858763664
18,0.9655999999999993,0.10063828650675129,0.001,0.962,0.12051653215091601
19,0.977333333333333,0.061591254785505596,0.001,0.95,0.17565855262387292
20,0.978266666666666,0.07204023315017068,0.001,0.958,0.1320308839461603
21,0.9707999999999997,0.09063175980803585,0.001,0.946,0.1759428999647384
22,0.9745333333333326,0.08381764387282958,0.001,0.936,0.24215193406258345
23,0.9747999999999994,0.07329627799847013,0.001,0.97,0.14814357943300846
24,0.9754666666666664,0.0787366549686956,0.001,0.956,0.17321585308204607
25,0.9774666666666662,0.07744616648744404,0.001,0.962,0.13603293554121984
26,0.9749333333333331,0.07434853382207954,0.001,0.962,0.1332335852645053
27,0.9794666666666663,0.060668139136378293,0.001,0.964,0.13307681612042369
28,0.9777333333333327,0.06145599546746123,0.001,0.932,0.22809058765822687
29,0.9747999999999999,0.07564614831643393,0.001,0.95,0.17586088921111467
30,0.9747999999999998,0.08063535504084104,0.001,0.942,0.18912894685077816
31,0.9766666666666662,0.07544159774640945,0.001,0.958,0.12920752091021925
32,0.9751999999999996,0.08148310275865983,0.001,0.944,0.13900588894316035
33,0.9785333333333329,0.06126497157973314,0.001,0.93,0.21416192155261293
34,0.9835999999999995,0.04442497981578972,0.001,0.954,0.15546611523291906
35,0.9783999999999995,0.08404456400338692,0.001,0.968,0.1395569449709798
36,0.9794666666666666,0.06117048869697164,0.001,0.96,0.14222772453773996
37,0.9787999999999996,0.06204000201559379,0.001,0.95,0.1445489921833952
38,0.9778666666666667,0.06049810989782418,0.001,0.95,0.2062754830795805
39,0.9777333333333331,0.0813598963565494,0.001,0.966,0.07817080980616517
40,0.9830666666666663,0.05741651257408473,0.001,0.96,0.15685985504189495
41,0.9755999999999996,0.06854995178351546,0.001,0.966,0.13121848064975541
42,0.9818666666666667,0.06187465400716098,0.001,0.98,0.07361231307955568
43,0.9837333333333325,0.05033667475843069,0.001,0.96,0.12916202213612937
44,0.9838666666666666,0.054555615333128166,0.001,0.962,0.12365466593843379
45,0.9823999999999999,0.06584991498417744,0.001,0.966,0.10306047038420932
46,0.9753333333333333,0.06582805218748117,0.001,0.952,0.16588046633781336
47,0.9803999999999994,0.08442621514396884,0.001,0.958,0.16382715586166308
48,0.9843999999999995,0.04592182681525955,0.001,0.956,0.12898969913124683
49,0.988933333333333,0.03219412205381086,0.001,0.97,0.0777038570156851
50,0.9809333333333328,0.05235703615482535,0.001,0.96,0.16461640750480566
51,0.9851999999999996,0.04079821382489654,0.001,0.97,0.10658350642166584
52,0.9853333333333327,0.04805119483008924,0.001,0.964,0.12634326473735286
53,0.9811999999999996,0.05656235148990826,0.001,0.982,0.06345032355408763
54,0.9757333333333328,0.06704308702124845,0.001,0.956,0.12619752191234893
55,0.9783999999999995,0.07400548471966154,0.001,0.974,0.08416771311616991
56,0.9815999999999994,0.06141608553993711,0.001,0.954,0.17832904896274726
57,0.9831999999999997,0.04800188616970018,0.001,0.97,0.11022711011090137
58,0.982933333333333,0.047822120570087334,0.001,0.968,0.1567479368657315
59,0.9877333333333328,0.03866159241344257,0.001,0.966,0.1170085779149877
60,0.983333333333333,0.05322802701452834,0.001,0.96,0.10170492160480149
61,0.9881333333333331,0.039387885075961665,0.001,0.962,0.13216819245669342
62,0.9841333333333329,0.05895569035562867,0.001,0.958,0.15218072037747302
63,0.9822666666666662,0.047940197094306664,0.001,0.97,0.0943756945616236
64,0.9886666666666665,0.038361058210298685,0.001,0.96,0.12908387018379272
65,0.9885333333333328,0.03272578245737759,0.001,0.976,0.11100410454175558
66,0.9875999999999996,0.042061513892846604,0.001,0.966,0.11137276417089556
